title,journals,pubmed_id,doi,impact,originality
Acceptance and Benefits of Two Different Strategies to Timely Integrate Specialist Palliative Care into Routine Cancer Care: A Randomized Pilot Study.,Oncology research and treatment,34818660,10.1159/000521077,3.0,1.0
Assessment of the Promoting Resilience in Stress Management Intervention for Adolescent and Young Adult Survivors of Cancer at 2 Years: Secondary Analysis of a Randomized Clinical Trial.,JAMA network open,34817581,10.1001/jamanetworkopen.2021.36039,4.0,3.0
Randomized Clinical Trial of a Self-care and Communication Intervention for Parents of Adolescent/Young Adults Undergoing High-Risk Cancer Treatment: A Report From the Children's Oncology Group.,Cancer nursing,34817419,10.1097/NCC.0000000000001038,4.0,3.0
"How to Open the Door: A Qualitative, Observational Study on Initiating Advance Care Discussions with Parents in Pediatric Palliative Care.",Journal of palliative medicine,34807732,10.1089/jpm.2021.0183,4.0,4.0
"Quality of life among patients with 4 to 10 brain metastases after treatment with whole-brain radiotherapy vs. stereotactic radiotherapy: a phase III, randomized, Dutch multicenter trial.",Annals of palliative medicine,34806396,10.21037/apm-21-1545,2.0,2.0
Burden of disease in myasthenia gravis: taking the patient's perspective.,Journal of neurology,34800167,10.1007/s00415-021-10891-1,2.0,2.0
Lung Cancer-Related Dyspnea: The Effects of a Handheld Fan on Management of Symptoms.,Clinical journal of oncology nursing,34800099,10.1188/21.CJON.655-661,6.0,6.0
Hope and advance care planning in advanced cancer: Is there a relationship?,Cancer,34787930,10.1002/cncr.34034,8.0,7.0
Effect of advance care planning discussions with trained nurses in older adults with chronic diseases in Japan.,Annals of palliative medicine,34775775,10.21037/apm-21-2161,3.0,4.0
Protocol for 'Resilient Caregivers': a randomised trial of a resilience-based intervention for psychologically distressed partner caregivers of patients with cancer.,BMJ open,34772747,10.1136/bmjopen-2020-048327,1.0,1.0
Developing Successful Palliative Care Teams in Rural Communities: A Facilitated Process.,Journal of palliative medicine,34762493,10.1089/jpm.2021.0287,5.0,3.0
Reporting of Palliative Sedation and Use of Opioids at the End of Life in a Belgian University Hospital: A Pilot Study.,Journal of palliative medicine,34756109,10.1089/jpm.2021.0113,7.0,6.0
Patient-reported outcomes in patients with hematological relapse or progressive disease: a longitudinal observational study.,Health and quality of life outcomes,34736479,10.1186/s12955-021-01887-6,5.0,4.0
Palliative Care Always: Hepatology-Virtual Primary Palliative Care Training for Hepatologists.,Hepatology communications,34719137,10.1002/hep4.1849,6.0,7.0
Factors associated with carer psychological and physical health during end-of-life caregiving: an observational analysis of a population-based post-bereavement survey of carers of people with cancer.,BMJ open,34716156,10.1136/bmjopen-2020-047275,5.0,4.0
Improving Palliative Care and Quality of Life in Pancreatic Cancer Patients.,Journal of palliative medicine,34704841,10.1089/jpm.2021.0187,7.0,7.0
"Decision regret 3 and 6 months after treatment for head and neck cancer: Observational study of associations with clinicodemographics, anxiety, and quality of life.",Head & neck,34704319,10.1002/hed.26911,2.0,3.0
[Wish to hasten death in home palliative care. Look for your seven percent.],Revista espanola de salud publica,34697285,,0.0,0.0
Critical decisions in the trauma intensive care unit: Are we practicing primary palliative care?,The journal of trauma and acute care surgery,34695065,10.1097/TA.0000000000003324,3.0,2.0
"Study of mirtazapine for agitated behaviours in dementia (SYMBAD): a randomised, double-blind, placebo-controlled trial.","Lancet (London, England)",34688369,10.1016/S0140-6736(21)01210-1,8.0,3.0
Is the 1-day surprise question a useful screening tool for predicting prognosis in patients with advanced cancer?-a multicenter prospective observational study.,Annals of palliative medicine,34670389,10.21037/apm-21-1718,2.0,2.0
"The role of perinatal palliative care following prenatal diagnosis of major, incurable fetal anomalies: a multicentre prospective cohort study.",BJOG : an international journal of obstetrics and gynaecology,34665920,10.1111/1471-0528.16976,2.0,2.0
Hydration Volume Is Associated with Development of Death Rattle in Patients with Abdominal Cancer.,Journal of palliative medicine,34665043,10.1089/jpm.2021.0297,7.0,3.0
